Task name,Assignee,Finished,Parent-task,Priority,Project,Status,Sub-tasks,Tags
"Notifications ",Paul Bauer,,,,3 - May 29 - June 12 (3%20-%20May%2029%20-%20June%2012%20778aafbd42264e25b6bbbe49d20b3e11.md),Done,,
List of Contests Created,Caleb Early,,,,3 - May 29 - June 12 (3%20-%20May%2029%20-%20June%2012%20778aafbd42264e25b6bbbe49d20b3e11.md),Done,,
List of Contests a part of,Caleb Early,,,,3 - May 29 - June 12 (3%20-%20May%2029%20-%20June%2012%20778aafbd42264e25b6bbbe49d20b3e11.md),Done,,
Join/Request a Contest,"Tate Martin, Caleb Early",,,,3 - May 29 - June 12 (3%20-%20May%2029%20-%20June%2012%20778aafbd42264e25b6bbbe49d20b3e11.md),Done,,
Accept an invitation,,,,,3 - May 29 - June 12 (3%20-%20May%2029%20-%20June%2012%20778aafbd42264e25b6bbbe49d20b3e11.md),Done,,
Pending requests,Caleb Early,,,,3 - May 29 - June 12 (3%20-%20May%2029%20-%20June%2012%20778aafbd42264e25b6bbbe49d20b3e11.md),Done,,
Fix Date Format,Caleb Early,,,,3 - May 29 - June 12 (3%20-%20May%2029%20-%20June%2012%20778aafbd42264e25b6bbbe49d20b3e11.md),Done,,
